lon;lat;annual_mean_temp;annual_pp;annual_mean_temp_2080;annual_pp_2080;annual_mean_temp_2050;annual_pp_2050
-77.66193435;62.41862615;-9.6;0.375;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.57859665;62.41862615;-9.7;0.379;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.49525895;62.41862615;-9.9;0.385;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.41192125;62.41862615;-9.8;0.382;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.32858355;62.41862615;-9.9;0.386;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.24524585;62.41862615;-10.3;0.395;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.16190815;62.41862615;-10.4;0.398;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.07857045;62.41862615;-10.2;0.396;-3.830042667;0.460053293;-6.0886125;39.57930025
-76.99523275;62.41862615;-10.3;0.398;-3.726381833;0.478754482;-5.982441;41.11984508
-76.91189505;62.41862615;-10.3;0.398;-3.726381833;0.478754482;-5.982441;41.11984508
-76.82855735;62.41862615;-10.2;0.396;-3.726381833;0.478754482;-5.982441;41.11984508
-76.74521965;62.41862615;-9.6;0.382;-3.726381833;0.478754482;-5.982441;41.11984508
-76.66188195;62.41862615;-9.2;0.372;-3.229316583;0.476742045;-5.497351667;40.95834858
-76.57854425;62.41862615;-9;0.37;-3.229316583;0.476742045;-5.497351667;40.95834858
-76.49520655;62.41862615;-9.1;0.372;-3.229316583;0.476742045;-5.497351667;40.95834858
-76.41186885;62.41862615;-8.8;0.364;-3.229316583;0.476742045;-5.497351667;40.95834858
-76.32853115;62.41862615;-8.2;0.351;-2.820904083;0.484185563;-5.118139917;41.3918185
-73.91173785;62.41862615;-8.1;0.362;-2.18676025;0.468711444;-4.41848975;40.14415625
-73.82840015;62.41862615;-8.4;0.369;-2.18676025;0.468711444;-4.41848975;40.14415625
-73.74506245;62.41862615;-8.5;0.372;-2.18676025;0.468711444;-4.41848975;40.14415625
-73.66172475;62.41862615;-8.2;0.364;-2.18676025;0.468711444;-4.41848975;40.14415625
-78.16196055;62.33528845;-8.4;0.345;-2.50466925;0.383169962;-4.854019083;32.53538358
