"lon","lat","annual_mean_temp","annual_pp"
-79.49536375,45.08438455,5.3,1.012
-79.49536375,45.16772225,5.1,1.021
-79.49536375,45.25105995,4.9,1.033
-79.49536375,45.33439765,4.7,1.036
-79.49536375,45.41773535,4.6,1.036
-79.49536375,45.50107305,4.6,1.028
-79.49536375,45.58441075,4.6,1.017
-79.49536375,45.66774845,4.3,1.015
-79.49536375,45.75108615,4.1,1.009
-79.49536375,45.83442385,4,1.002
-79.49536375,45.91776155,4,0.986
-79.49536375,46.00109925,4.2,0.963
-79.49536375,46.08443695,4.5,0.938
-79.49536375,46.16777465,4.5,0.924
-79.49536375,46.25111235,4.4,0.917
-79.49536375,46.33445005,3.8,0.938
-79.49536375,46.41778775,3.5,0.941
-79.49536375,46.50112545,3.4,0.933
-79.49536375,46.58446315,3.4,0.923
-79.49536375,46.66780085,3.5,0.912
-79.49536375,46.75113855,3.4,0.903
-79.49536375,46.83447625,3.4,0.893
-79.49536375,46.91781395,3.2,0.89
-79.49536375,47.00115165,3.1,0.884
-79.49536375,47.08448935,3.4,0.858
-79.49536375,47.16782705,3.2,0.854
-79.49536375,47.25116475,3.3,0.837
-79.49536375,47.33450245,3.1,0.835
-79.49536375,47.41784015,3,0.831
-79.49536375,47.50117785,3,0.82
-79.49536375,47.58451555,2.8,0.823
-79.49536375,47.66785325,2.5,0.83
-79.49536375,47.75119095,2.1,0.839
-79.49536375,47.83452865,2.1,0.836
-79.49536375,47.91786635,1.9,0.839
-79.49536375,48.00120405,1.9,0.836
-79.49536375,48.08454175,1.7,0.842
-79.49536375,48.16787945,1.5,0.847
-79.49536375,48.25121715,1.5,0.841
-79.49536375,48.33455485,1.2,0.854
-79.49536375,48.41789255,1.4,0.842
-79.49536375,48.50123025,1.2,0.847
-79.49536375,48.58456795,1.2,0.841
-79.49536375,48.66790565,1.1,0.84
-79.49536375,48.75124335,1,0.841
-79.49536375,48.83458105,0.8,0.841
-79.49536375,48.91791875,0.7,0.842
-79.49536375,49.00125645,0.4,0.849
-79.49536375,49.08459415,0.4,0.846
-79.49536375,49.16793185,0.2,0.847
-79.49536375,49.25126955,0.3,0.836
-79.49536375,49.33460725,0.3,0.829
-79.49536375,49.41794495,0.3,0.825
-79.49536375,49.50128265,0.2,0.823
-79.49536375,49.58462035,0.1,0.822
-79.49536375,49.66795805,0,0.818
-79.49536375,49.75129575,0,0.813
-79.49536375,49.83463345,0,0.809
-79.49536375,49.91797115,-0.1,0.807
-79.49536375,50.00130885,-0.2,0.809
-79.49536375,50.08464655,-0.4,0.808
-79.49536375,50.16798425,-0.4,0.804
-79.49536375,50.25132195,-0.4,0.797
-79.49536375,50.33465965,-0.5,0.794
-79.49536375,50.41799735,-0.4,0.786
-79.49536375,50.50133505,-0.3,0.774
-79.49536375,50.58467275,-0.1,0.76
-79.49536375,50.66801045,0,0.751
-79.49536375,50.75134815,0,0.744
-79.49536375,50.83468585,0,0.74
-79.49536375,50.91802355,-0.1,0.739
-79.49536375,51.00136125,-0.2,0.736
-79.49536375,51.08469895,-0.3,0.733
-79.49536375,51.16803665,-0.3,0.729
-79.49536375,51.25137435,-0.3,0.725
-79.49536375,51.33471205,-0.4,0.722
-79.49536375,51.41804975,-0.5,0.721
-79.49536375,51.50138745,-0.7,0.72
-79.49536375,51.58472515,-0.7,0.715
-79.49536375,51.91807595,-1,0.702
-79.49536375,52.00141365,-1.1,0.696
-79.49536375,52.16808905,-1.3,0.691
-79.49536375,52.25142675,-1.4,0.689
-79.49536375,54.08485615,-2.9,0.617
-79.49536375,54.16819385,-3,0.615
-79.49536375,54.25153155,-3,0.613
-79.49536375,54.33486925,-3.1,0.611
-79.49536375,54.41820695,-3.2,0.609
-79.49536375,54.50154465,-3.3,0.608
-79.49536375,54.58488235,-3.4,0.606
-79.49536375,54.66822005,-3.5,0.604
-79.49536375,54.75155775,-3.5,0.598
-79.49536375,54.83489545,-3.6,0.598
-79.49536375,55.83494785,-4.5,0.562
-79.49536375,55.91828555,-4.6,0.558
-79.49536375,56.00162325,-4.7,0.555
-79.49536375,56.08496095,-4.8,0.553
-79.49536375,56.16829865,-4.8,0.548
-79.49536375,56.25163635,-4.8,0.543
-79.49536375,56.33497405,-4.9,0.538
-79.49536375,56.41831175,-4.9,0.533
-79.49536375,56.50164945,-4.9,0.527
-79.49536375,56.58498715,-5,0.523
-79.49536375,56.66832485,-5.1,0.52
-79.49536375,61.83526225,-8.5,0.351
-79.49536375,61.91859995,-8.6,0.349
-79.49536375,62.00193765,-8.8,0.352
-79.49536375,62.08527535,-8.9,0.351
-79.49536375,62.16861305,-8.9,0.35
-79.49536375,62.25195075,-8.9,0.346
-79.49536375,62.33528845,-8.7,0.339
-79.41202605,45.00104685,5.5,0.994
-79.41202605,45.08438455,5.1,1.016
-79.41202605,45.16772225,5,1.025
-79.41202605,45.25105995,4.8,1.032
-79.41202605,45.33439765,4.8,1.031
-79.41202605,45.41773535,4.6,1.034
