B M R T
0.136 0.35 0.418 0.096
0.292 0.364 0.308 0.036
0.36 0.298 0.122 0.22
0.058 0.672 0.2 0.07
0.126 0.106 0.634 0.134
0.004 0.002 0.776 0.218
0.126 0.106 0.634 0.134
0.004 0.002 0.776 0.218
0.126 0.106 0.634 0.134
0.004 0.002 0.776 0.218
0.126 0.106 0.634 0.134
0.004 0.002 0.776 0.218
0.056 0.044 0.9 0
0.036 0.194 0.672 0.098
0 0 0.882 0.118
0 0 0.196 0.804
0.098 0.212 0.26 0.43
0.056 0.044 0.9 0
0.036 0.194 0.672 0.098
0 0 0.584 0.416
0 0 0.318 0.682
0.006 0.03 0.67 0.294
0.092 0.142 0.594 0.172
0.22 0.006 0.508 0.266
0.22 0.006 0.508 0.266
0.22 0.006 0.508 0.266
0 0 0.204 0.796
0 0 0.452 0.548
0 0 0.204 0.796
0 0 0.452 0.548
0 0 0.258 0.742
0 0 0.428 0.572
0 0 0.184 0.816
0 0 0.108 0.892
0.064 0.268 0.048 0.62
0 0 0.184 0.816
0 0 0.108 0.892
0.058 0.222 0.72 0
0.012 0.004 0.97 0.014
0 0 0.438 0.562
0 0 0.42 0.58
0.156 0.014 0.474 0.356
0 0 0.478 0.522
0 0 0.456 0.544
0.204 0.096 0.452 0.248
0.242 0 0.634 0.124
0 0 0.248 0.752
0 0.012 0.426 0.562
0.012 0.004 0.898 0.086
0.094 0 0.904 0.002
0 0 0.52 0.48
0 0 0.548 0.452
0 0 0.194 0.806
0 0 0.54 0.46
0 0 0.252 0.748
0 0 0.724 0.276
0.406 0.144 0.316 0.134
0 0 0.188 0.812
0 0 0.188 0.812
0 0 0.188 0.812
0 0 0.188 0.812
0 0 0.31 0.69
0 0 0.31 0.69
0 0 0.252 0.748
0 0 0.724 0.276
0 0 0.444 0.556
0 0.006 0.01 0.984
0 0.006 0.01 0.984
0 0 0.302 0.698
0.148 0.008 0.24 0.604
0 0.012 0.426 0.562
0.014 0.01 0.482 0.494
0 0 0.126 0.874
0.548 0.222 0.186 0.044
0.186 0.562 0.162 0.09
0.41 0.278 0.308 0.004
0.11 0.136 0.014 0.74
0.102 0.28 0.156 0.462
0.042 0.284 0.274 0.4
0.006 0.232 0.174 0.588
0.13 0.344 0.394 0.132
0.082 0.542 0.202 0.174
0.2 0.336 0.286 0.178
0.178 0.606 0.05 0.166
0.186 0.562 0.182 0.07
0.038 0.294 0.636 0.032
0.036 0.576 0.282 0.106
0.026 0.29 0.6 0.084
0.434 0.142 0.402 0.022
0.024 0.852 0.1 0.024
0.56 0.258 0.178 0.004
0.354 0.348 0.23 0.068
0.002 0.22 0.282 0.496
0.014 0.104 0.818 0.064
0.05 0.044 0.818 0.088
0.19 0.086 0.598 0.126
0.434 0.072 0.466 0.028
0.012 0.04 0.884 0.064
0.012 0.04 0.884 0.064
0.012 0.04 0.884 0.064
0.012 0.04 0.884 0.064
0 0.35 0.056 0.594
0 0 0.044 0.956
0.318 0.014 0.656 0.012
0.318 0.014 0.656 0.012
0.318 0.014 0.656 0.012
0.318 0.014 0.656 0.012
0.074 0 0.568 0.358
0.016 0.022 0.76 0.202
0.074 0 0.568 0.358
0.016 0.022 0.76 0.202
0.074 0 0.568 0.358
0.016 0.022 0.76 0.202
0.074 0 0.568 0.358
0.016 0.022 0.76 0.202
0.016 0.13 0.51 0.344
0.02 0.006 0.846 0.128
0.002 0.31 0.654 0.034
0.016 0.13 0.51 0.344
0.02 0.006 0.846 0.128
0.016 0.13 0.51 0.344
0.02 0.006 0.846 0.128
0.002 0.31 0.654 0.034
0.002 0.31 0.654 0.034
0.046 0.002 0.702 0.25
0.116 0.336 0.398 0.15
0 0.558 0.096 0.346
0.022 0.328 0.152 0.498
0.256 0.122 0.324 0.298
0.042 0.034 0.836 0.088
0 0 0.272 0.728
0 0 0.272 0.728
0 0.04 0.198 0.762
0 0 0.226 0.774
0 0 0.356 0.644
0.058 0.056 0.572 0.314
0.002 0 0.158 0.84
0 0 0.398 0.602
0 0 0.22 0.78
0 0 0.398 0.602
0 0 0.22 0.78
0 0 0.674 0.326
0 0 0.374 0.626
0 0 0.762 0.238
0 0 0.526 0.474
0 0 0.334 0.666
0 0 0.298 0.702
0 0 0.298 0.702
0 0 0.51 0.49
0 0 0.766 0.234
0.002 0.22 0.282 0.496
0.014 0.104 0.818 0.064
0 0 0.532 0.468
0 0 0.48 0.52
0 0 0.532 0.468
0 0 0.48 0.52
0 0 0.532 0.468
0 0 0.48 0.52
0 0 0.708 0.292
0.014 0.058 0.528 0.4
0.006 0.07 0.394 0.53
0 0 0.354 0.646
0 0 0.268 0.732
0 0 0.508 0.492
0.002 0.018 0.514 0.466
0 0 0.894 0.106
0 0 0.51 0.49
0 0 0.348 0.652
0.206 0.05 0.448 0.296
0.032 0.186 0.554 0.228
0 0 0.37 0.63
0 0 0.368 0.632
0.206 0.05 0.448 0.296
0.032 0.186 0.554 0.228
0.206 0.05 0.448 0.296
0.032 0.186 0.554 0.228
0.176 0.032 0.766 0.026
0.55 0.116 0.318 0.016
0.084 0.02 0.868 0.028
0.176 0.032 0.766 0.026
0 0 0.282 0.718
0 0 0.088 0.912
0.176 0.032 0.766 0.026
0 0 0.282 0.718
0 0 0.088 0.912
0.176 0.032 0.766 0.026
0 0 0.394 0.606
0 0 0.67 0.33
0 0 0.098 0.902
0 0 0.018 0.982
0 0 0.222 0.778
0 0.004 0.652 0.344
0.55 0.116 0.318 0.016
0.084 0.02 0.868 0.028
0.112 0.078 0.33 0.48
0.004 0.538 0.334 0.124
0.112 0.078 0.33 0.48
0.004 0.538 0.334 0.124
0.03 0.024 0.884 0.062
0.002 0.186 0.402 0.41
0.03 0.024 0.884 0.062
0.002 0.186 0.402 0.41
0.144 0.006 0.226 0.624
0.144 0.006 0.226 0.624
0.144 0.006 0.226 0.624
0.144 0.006 0.226 0.624
0.006 0.266 0.212 0.516
0.006 0.266 0.212 0.516
0 0 0.61 0.39
0.006 0.266 0.212 0.516
0 0 0.826 0.174
0.112 0.078 0.33 0.48
0.004 0.538 0.334 0.124
0.362 0.098 0.292 0.248
0.046 0.056 0.282 0.616
0.362 0.098 0.292 0.248
0.046 0.056 0.282 0.616
0 0 0.168 0.832
0 0 0.574 0.426
0 0 0.354 0.646
0.034 0.008 0.284 0.674
0 0 0.814 0.186
0 0 0.342 0.658
0 0 0.782 0.218
0.044 0.488 0.084 0.384
0.042 0.394 0.152 0.412
0.042 0.394 0.152 0.412
0.042 0.394 0.152 0.412
0.042 0.394 0.152 0.412
0.012 0.014 0.456 0.518
0 0.082 0.584 0.334
0.118 0.326 0.296 0.26
0.054 0.014 0.918 0.014
0.012 0.014 0.57 0.404
0.156 0.074 0.656 0.114
0 0 0.56 0.44
0 0 0.608 0.392
0 0 0.608 0.392
0 0 0.774 0.226
0.25 0 0.742 0.008
0.25 0 0.742 0.008
0.25 0 0.742 0.008
0 0.002 0.662 0.336
0 0 0.58 0.42
0 0 0.458 0.542
0 0 0.492 0.508
0 0 0.492 0.508
0 0 0.286 0.714
0 0.002 0.274 0.724
0.008 0.022 0.788 0.182
0.002 0.08 0.724 0.194
0.006 0.018 0.666 0.31
0 0 0.168 0.832
0 0 0.286 0.714
0 0 0.048 0.952
0 0 0.132 0.868
0 0 0.048 0.952
0 0 0.132 0.868
0 0 0.62 0.38
0.012 0.112 0.592 0.284
0 0 0.71 0.29
0 0 0.71 0.29
0 0 0.762 0.238
0 0 0.776 0.224
0 0.028 0.96 0.012
0.04 0.04 0.902 0.018
0.002 0 0.78 0.218
0.042 0.004 0.834 0.12
0.042 0.004 0.834 0.12
0.042 0.108 0.844 0.006
0.004 0.118 0.75 0.128
0.042 0.108 0.844 0.006
0.004 0.118 0.75 0.128
0.042 0.108 0.844 0.006
0.004 0.118 0.75 0.128
0.042 0.108 0.844 0.006
0.004 0.118 0.75 0.128
0 0 0.672 0.328
0 0 0.672 0.328
0.02 0 0.532 0.448
0.008 0.002 0.5 0.49
0.11 0.358 0.494 0.038
0.11 0.358 0.494 0.038
0.354 0 0.63 0.016
0 0 0.672 0.328
0.11 0.358 0.494 0.038
0.11 0.358 0.494 0.038
0 0 0.456 0.544
0 0 0.226 0.774
0 0 0.268 0.732
0.026 0.002 0.972 0
0.028 0.148 0.71 0.114
0.026 0.002 0.972 0
0.028 0.148 0.71 0.114
0.01 0.65 0.17 0.17
0.088 0.186 0.572 0.154
0 0 0.188 0.812
0.004 0.006 0.814 0.176
0 0 0.566 0.434
0.012 0.424 0.048 0.516
0.072 0.08 0.792 0.056
0 0.558 0.382 0.06
0 0.558 0.382 0.06
0 0 0.308 0.692
0 0 0.046 0.954
0 0 0.308 0.692
0 0 0.046 0.954
0 0 0.308 0.692
0 0 0.046 0.954
0.014 0.058 0.474 0.454
0 0 0.26 0.74
0 0 0.182 0.818
0 0.558 0.382 0.06
0 0.558 0.382 0.06
0 0 0.78 0.22
0 0 0.692 0.308
0 0 0.78 0.22
0 0 0.692 0.308
0 0 0.78 0.22
0 0 0.692 0.308
0 0 0.488 0.512
0.374 0.242 0.146 0.238
0.712 0.042 0.246 0
0 0 0.466 0.534
0.174 0.274 0.154 0.398
0.44 0.14 0.228 0.192
0.1 0.172 0.542 0.186
0.396 0.258 0.308 0.038
0.454 0.382 0.106 0.058
0.652 0.24 0.082 0.026
0.198 0.176 0.626 0
0.122 0.558 0.318 0.002
0.236 0.424 0.336 0.004
0.504 0.09 0.356 0.05
0.546 0.368 0.08 0.006
0.572 0.188 0.214 0.026
0.316 0.18 0.398 0.106
0.814 0.064 0.118 0.004
0.388 0.464 0.132 0.016
0 0 0.268 0.732
0 0 0.844 0.156
0 0 0.366 0.634
0 0 0.592 0.408
0 0 0.366 0.634
0 0 0.592 0.408
0 0 0.382 0.618
0 0 0.322 0.678
0 0 0.686 0.314
0 0 0.378 0.622
0.002 0 0.472 0.526
0 0 0.52 0.48
0.002 0 0.472 0.526
0 0 0.52 0.48
0.002 0 0.472 0.526
0 0 0.52 0.48
0.016 0.002 0.3 0.682
0.004 0.012 0.35 0.634
0 0 0.558 0.442
0.002 0 0.472 0.526
0 0 0.52 0.48
0 0 0.316 0.684
0.012 0.006 0.47 0.512
0.054 0.092 0.154 0.7
0.012 0.002 0.896 0.09
0.016 0.002 0.3 0.682
0.004 0.012 0.35 0.634
0.016 0.002 0.3 0.682
0.004 0.012 0.35 0.634
0.032 0.442 0.358 0.168
0.248 0.254 0.294 0.204
0.098 0.62 0.172 0.11
0.122 0.098 0.67 0.11
0.222 0.02 0.69 0.068
0.286 0.114 0.6 0
0 0 0.898 0.102
0 0 0.484 0.516
0.004 0.194 0.606 0.196
0 0 0.206 0.794
0 0 0.338 0.662
0.004 0.194 0.606 0.196
0 0 0.206 0.794
0 0 0.206 0.794
0 0 0.206 0.794
0 0 0.744 0.256
0 0.07 0.424 0.506
0 0 0.248 0.752
0 0 0.39 0.61
0 0 0.108 0.892
0 0 0.218 0.782
0 0 0.078 0.922
0.004 0.194 0.606 0.196
0 0 0.182 0.818
0 0 0.348 0.652
0 0 0.542 0.458
0 0 0.348 0.652
0 0 0.542 0.458
0 0 0.26 0.74
0 0 0.258 0.742
0.088 0 0.326 0.586
0.088 0 0.326 0.586
0 0 0.382 0.618
0 0 0.744 0.256
0 0.07 0.424 0.506
0.182 0.13 0 0.688
0 0 0.412 0.588
0 0 0.084 0.916
0.074 0.004 0.496 0.426
0.004 0.062 0.662 0.272
0 0 0.192 0.808
0 0 0.078 0.922
0.12 0.41 0.13 0.34
0.42 0.034 0.238 0.308
0 0 0.744 0.256
0 0.07 0.424 0.506
0.264 0.106 0.56 0.07
0.264 0.106 0.56 0.07
0.264 0.106 0.56 0.07
0.264 0.106 0.56 0.07
0.196 0.064 0.676 0.064
0.116 0.168 0.592 0.124
0 0 0.296 0.704
0.038 0 0.96 0.002
0 0 0.978 0.022
0.074 0.038 0.65 0.238
0.146 0.098 0.646 0.11
0.074 0.038 0.65 0.238
0.146 0.098 0.646 0.11
0.234 0.036 0.59 0.14
0.002 0.012 0.518 0.468
0 0 0.24 0.76
0 0 0.282 0.718
0 0 0.14 0.86
0 0 0.514 0.486
0 0 0.14 0.86
0 0 0.372 0.628
0 0 0.12 0.88
0 0 0.142 0.858
0 0.028 0.114 0.858
0.07 0 0.916 0.014
0.018 0.01 0.968 0.004
0.07 0 0.916 0.014
0.018 0.01 0.968 0.004
0.184 0.052 0.166 0.598
0.244 0.018 0.404 0.334
0.184 0.052 0.166 0.598
0.244 0.018 0.404 0.334
0.184 0.052 0.166 0.598
0.244 0.018 0.404 0.334
0.07 0 0.916 0.014
0.018 0.01 0.968 0.004
0.07 0 0.916 0.014
0.018 0.01 0.968 0.004
0.116 0.256 0.238 0.39
0.514 0.294 0.17 0.022
0.138 0.222 0.094 0.546
0.184 0.214 0.398 0.204
0.528 0.368 0.052 0.052
0.524 0.2 0.272 0.004
0.8 0.066 0.126 0.008
0.14 0.212 0.58 0.068
0.218 0.176 0.524 0.082
0.028 0.354 0.412 0.206
0.164 0.382 0.43 0.024
0.232 0.42 0.336 0.012
0.514 0.364 0.086 0.036
0.066 0.338 0.34 0.256
0.166 0.52 0.254 0.06
0.202 0.732 0.066 0
0.066 0.228 0.022 0.684
0.216 0.426 0.014 0.344
0.586 0.294 0.098 0.022
0.006 0.018 0.874 0.102
0.218 0.026 0.544 0.212
0.042 0.16 0.664 0.134
0.006 0.034 0.75 0.21
0.236 0.004 0.76 0
0.6 0.34 0.06 0
0.274 0.018 0.696 0.012
0.188 0.49 0.32 0.002
0.382 0.016 0.602 0
0.45 0.02 0.53 0
0.512 0.058 0.378 0.052
0.462 0 0.538 0
0.428 0.008 0.564 0
0.794 0.034 0.172 0
0.272 0 0.728 0
0.27 0 0.73 0
0.142 0 0.858 0
0.512 0 0.488 0
0.888 0 0.112 0
0.702 0.002 0.296 0
0.198 0.172 0.596 0.034
0.556 0.282 0.12 0.042
0.07 0.242 0.246 0.442
0.082 0.646 0.252 0.02
0 0 0.898 0.102
0.006 0.018 0.874 0.102
0.218 0.026 0.544 0.212
0.146 0.35 0.454 0.05
0.164 0.224 0.38 0.232
0.114 0.22 0.392 0.274
0 0 0.38 0.62
0.052 0.114 0.746 0.088
0.03 0.024 0.66 0.286
0.144 0.01 0.778 0.068
0.008 0 0.878 0.114
0 0 0.252 0.748
0 0 0.252 0.748
0.002 0.42 0.358 0.22
0.238 0.216 0.156 0.39
0.238 0.118 0.364 0.28
0.038 0.288 0.254 0.42
0.238 0.118 0.364 0.28
0.038 0.288 0.254 0.42
0.238 0.118 0.364 0.28
0.038 0.288 0.254 0.42
0.042 0.408 0.11 0.44
0.1 0.336 0.208 0.356
0 0 0.132 0.868
0 0 0.304 0.696
0.006 0.018 0.874 0.102
0.218 0.026 0.544 0.212
0.002 0.42 0.358 0.22
0.238 0.216 0.156 0.39
0 0 0.638 0.362
0 0 0.484 0.516
0 0 0.462 0.538
0.06 0.056 0.318 0.566
0 0.24 0.254 0.506
0 0 0.408 0.592
0 0 0.148 0.852
0 0 0.124 0.876
0 0 0.124 0.876
0.38 0.15 0.466 0.004
0.282 0.01 0.632 0.076
0.012 0.056 0.82 0.112
0.156 0 0.762 0.082
0.228 0.012 0.486 0.274
0.028 0.048 0.496 0.428
0 0 0.798 0.202
0.042 0 0.538 0.42
0.034 0.042 0.656 0.268
0.228 0.012 0.486 0.274
0.028 0.048 0.496 0.428
0.38 0.15 0.466 0.004
0.282 0.01 0.632 0.076
0 0 0.798 0.202
0.398 0 0.6 0.002
0.118 0.028 0.84 0.014
0.398 0 0.6 0.002
0.118 0.028 0.84 0.014
0.096 0.65 0.212 0.042
0.17 0.536 0.196 0.098
0.398 0 0.6 0.002
0.118 0.028 0.84 0.014
0.55 0 0.45 0
0 0 0.216 0.784
0.254 0.59 0.14 0.016
0.16 0.482 0.214 0.144
0 0 0.38 0.62
0 0 0.154 0.846
0 0 0.38 0.62
0 0 0.154 0.846
0.192 0 0.798 0.01
0.17 0.042 0.684 0.104
0.192 0 0.798 0.01
0.17 0.042 0.684 0.104
0.096 0.65 0.212 0.042
0.17 0.536 0.196 0.098
0.032 0.164 0.204 0.6
0.036 0.396 0.286 0.282
0 0 0.38 0.62
0 0 0.154 0.846
0.002 0.012 0.864 0.122
0.014 0.012 0.852 0.122
0.002 0.012 0.864 0.122
0.014 0.012 0.852 0.122
0.042 0.05 0.704 0.204
0.002 0.012 0.864 0.122
0.014 0.012 0.852 0.122
0.038 0.08 0.468 0.414
0.05 0.144 0.702 0.104
0 0 0.286 0.714
0.032 0.774 0.152 0.042
0.072 0.46 0.038 0.43
0.274 0.39 0.2 0.136
0.088 0.786 0.07 0.056
0.498 0.32 0.008 0.174
0.438 0.4 0.102 0.06
0.042 0 0.538 0.42
0.034 0.042 0.656 0.268
0.218 0.266 0.428 0.088
0.126 0.078 0.786 0.01
0.232 0.294 0.472 0.002
0.612 0.116 0.108 0.164
0.484 0.222 0.15 0.144
0.094 0 0.804 0.102
0.454 0.034 0.448 0.064
0.454 0.034 0.448 0.064
0.094 0 0.804 0.102
0.454 0.034 0.448 0.064
0.1 0.02 0.864 0.016
0.28 0.022 0.676 0.022
0.1 0.02 0.864 0.016
0.28 0.022 0.676 0.022
0.328 0.292 0.016 0.364
0.034 0.21 0.744 0.012
0.018 0.088 0.684 0.21
0.59 0 0.41 0
0.764 0 0.236 0
0.034 0.21 0.744 0.012
0.018 0.088 0.684 0.21
0.42 0.16 0.42 0
0.372 0.236 0.36 0.032
0.324 0.654 0.012 0.01
0.728 0 0.272 0
0.738 0.002 0.26 0
0.094 0 0.906 0
0.098 0.002 0.9 0
0.034 0.21 0.744 0.012
0.018 0.088 0.684 0.21
0.102 0.228 0.008 0.662
0.17 0.32 0.06 0.45
0.078 0.786 0.026 0.11
0.414 0.304 0.276 0.006
0.532 0.222 0.144 0.102
0.194 0.296 0.4 0.11
0.002 0.002 0.698 0.298
0 0 0.126 0.874
0.002 0.002 0.698 0.298
0.294 0.35 0.1 0.256
0.104 0.39 0.472 0.034
0.04 0.512 0.412 0.036
0.214 0.276 0.352 0.158
0.328 0.296 0.24 0.136
0.268 0.328 0.288 0.116
0.018 0 0.982 0
0.018 0 0.982 0
0.018 0 0.982 0
0.066 0.012 0.89 0.032
0.078 0.254 0.596 0.072
0.222 0.044 0.502 0.232
0.002 0.082 0.204 0.712
0 0 0.43 0.57
0.222 0.044 0.502 0.232
0.002 0.082 0.204 0.712
0.222 0.044 0.502 0.232
0.002 0.082 0.204 0.712
0 0 0.49 0.51
0 0 0.362 0.638
0.018 0.066 0.088 0.828
0 0 0.49 0.51
0 0 0.362 0.638
0 0 0.826 0.174
0 0 0.276 0.724
0 0 0.276 0.724
0 0.008 0.788 0.204
0 0 0.276 0.724
0 0 0.526 0.474
0 0 0.786 0.214
0 0 0.086 0.914
0.026 0.038 0.894 0.042
0 0 0.066 0.934
0 0 0.498 0.502
0.28 0.036 0.676 0.008
0.018 0.048 0.934 0
0.08 0.028 0.888 0.004
0.268 0 0.73 0.002
0 0 0.11 0.89
0 0 0.298 0.702
0 0 0.11 0.89
0 0 0.298 0.702
0 0 0.11 0.89
0 0 0.298 0.702
0 0 0.11 0.89
0 0 0.298 0.702
0.28 0.036 0.676 0.008
0.018 0.048 0.934 0
0.28 0.036 0.676 0.008
0.018 0.048 0.934 0
0.018 0.048 0.934 0
0 0 0.132 0.868
0 0 0.304 0.696
0.01 0 0.898 0.092
0.072 0.35 0.388 0.19
0 0 0.396 0.604
0 0 0.456 0.544
0.01 0 0.898 0.092
0.072 0.35 0.388 0.19
0 0 0.286 0.714
0.01 0 0.898 0.092
0.072 0.35 0.388 0.19
0.01 0 0.898 0.092
0.072 0.35 0.388 0.19
0.01 0 0.898 0.092
0.072 0.35 0.388 0.19
0.01 0 0.898 0.092
0.072 0.35 0.388 0.19
0.102 0.45 0.24 0.208
0.05 0.392 0.372 0.186
0.102 0.45 0.24 0.208
0.05 0.392 0.372 0.186
0.274 0.392 0.256 0.078
0.176 0.234 0.57 0.02
0.102 0.45 0.24 0.208
0.05 0.392 0.372 0.186
0.082 0.244 0.344 0.33
0.416 0.184 0.212 0.188
0.082 0.244 0.344 0.33
0.416 0.184 0.212 0.188
0.082 0.244 0.344 0.33
0.416 0.184 0.212 0.188
0.082 0.244 0.344 0.33
0.416 0.184 0.212 0.188
0.06 0.056 0.318 0.566
0 0 0.682 0.318
0.274 0.392 0.256 0.078
0.176 0.234 0.57 0.02
0.006 0.006 0.748 0.24
0.002 0.006 0.684 0.308
0 0 0.31 0.69
0 0 0.524 0.476
0 0 0.39 0.61
0 0 0.502 0.498
0.142 0.016 0.696 0.146
0.142 0.016 0.696 0.146
0.06 0.056 0.318 0.566
0.198 0.102 0.6 0.1
0.468 0.324 0.174 0.034
0.13 0.038 0.238 0.594
0.052 0.044 0.63 0.274
0.054 0.152 0.226 0.568
0.052 0.044 0.63 0.274
0.054 0.152 0.226 0.568
0.142 0.016 0.696 0.146
0 0.044 0.51 0.446
0 0 0.14 0.86
0.198 0.102 0.6 0.1
0.468 0.324 0.174 0.034
0.402 0.528 0.034 0.036
0.402 0.528 0.034 0.036
0.434 0.072 0.466 0.028
0.006 0.006 0.748 0.24
0.002 0.006 0.684 0.308
0.286 0.578 0.132 0.004
0.106 0.704 0.166 0.024
0.032 0.638 0.1 0.23
0 0 0.564 0.436
0 0 0.486 0.514
0 0 0.26 0.74
0.084 0.426 0.378 0.112
0.132 0.01 0.85 0.008
0.112 0.028 0.696 0.164
0.132 0.01 0.85 0.008
0.112 0.028 0.696 0.164
0.084 0.426 0.378 0.112
0.084 0.356 0.322 0.238
0.266 0.408 0.254 0.072
0.004 0.058 0.924 0.014
0.016 0 0.906 0.078
0 0 0.934 0.066
0 0.036 0.83 0.134
0.142 0.14 0.626 0.092
0.104 0.768 0.028 0.1
0.044 0.348 0.226 0.382
0 0 0.364 0.636
0 0 0.34 0.66
0 0 0.364 0.636
0 0 0.34 0.66
0.052 0.14 0.596 0.212
0.022 0.094 0.028 0.856
0 0 0.364 0.636
0 0 0.34 0.66
0 0 0.364 0.636
0 0 0.34 0.66
0 0 0.514 0.486
0 0 0.438 0.562
0 0 0.514 0.486
0 0 0.438 0.562
0.22 0.342 0.332 0.106
0.002 0.052 0.56 0.386
0.066 0.078 0.614 0.242
0 0 0.22 0.78
0 0 0.752 0.248
0.112 0.184 0.606 0.098
0 0 0.22 0.78
0 0 0.752 0.248
0.044 0.002 0.95 0.004
0.242 0.278 0.47 0.01
0.002 0.052 0.56 0.386
0.066 0.078 0.614 0.242
0.22 0.342 0.332 0.106
0.22 0.342 0.332 0.106
0 0 0.514 0.486
0 0 0.212 0.788
0 0 0.514 0.486
0 0 0.212 0.788
0.274 0 0.614 0.112
0.076 0.012 0.258 0.654
0.274 0 0.614 0.112
0 0 0.406 0.594
0.06 0.002 0.378 0.56
0 0 0.154 0.846
0.006 0.006 0.748 0.24
0.002 0.006 0.684 0.308
0.002 0 0 0.998
0 0.468 0.258 0.274
0 0.024 0.208 0.768
0 0 0.396 0.604
0 0 0.406 0.594
0 0 0.442 0.558
0 0 0.568 0.432
0.036 0 0.438 0.526
0.016 0.244 0.518 0.222
0 0 0.232 0.768
0 0 0.49 0.51
0.122 0.004 0.736 0.138
0.122 0.004 0.736 0.138
0.122 0.004 0.736 0.138
0.038 0.026 0.376 0.56
0 0.51 0.278 0.212
0.032 0.028 0.934 0.006
0.016 0.082 0.842 0.06
0.032 0.028 0.934 0.006
0.016 0.082 0.842 0.06
0.028 0 0.396 0.576
0 0 0.142 0.858
0.01 0.474 0.114 0.402
0.01 0.474 0.114 0.402
0.01 0.474 0.114 0.402
0.308 0.29 0.288 0.114
0.274 0.126 0.522 0.078
0.12 0.008 0.68 0.192
0 0 0.518 0.482
0 0 0.126 0.874
0 0 0.67 0.33
0 0 0.226 0.774
0 0 0.532 0.468
0.27 0.002 0.264 0.464
0 0 0.518 0.482
0 0 0.126 0.874
0 0 0.518 0.482
0 0 0.126 0.874
0.032 0.04 0.732 0.196
0.048 0.026 0.724 0.202
0 0 0.082 0.918
0 0 0.286 0.714
0 0 0.27 0.73
0 0 0.422 0.578
0 0 0.88 0.12
0 0 0.292 0.708
0 0 0.536 0.464
0 0 0.224 0.776
0 0 0.88 0.12
0 0 0.292 0.708
0 0 0.88 0.12
0 0 0.292 0.708
0.002 0.01 0.242 0.746
0 0 0.056 0.944
0 0 0.392 0.608
0 0 0.198 0.802
0.028 0 0.396 0.576
0.006 0 0.516 0.478
0.006 0 0.516 0.478
0 0 0.88 0.12
0 0 0.292 0.708
0.022 0.458 0.238 0.282
0.046 0.05 0.492 0.412
0.022 0.458 0.238 0.282
0.046 0.05 0.492 0.412
0.14 0.094 0.368 0.398
0.048 0.09 0.732 0.13
0.002 0.004 0.558 0.436
0.008 0.206 0.532 0.254
0.03 0.008 0.938 0.024
0.09 0.208 0.302 0.4
0.548 0.218 0.124 0.11
0.09 0.208 0.302 0.4
0.548 0.218 0.124 0.11
0.024 0.66 0.236 0.08
0.194 0.228 0.482 0.096
0.026 0.162 0.632 0.18
0.008 0.006 0.486 0.5
0.024 0.66 0.236 0.08
0.194 0.228 0.482 0.096
0.24 0.078 0.52 0.162
0.034 0.522 0.438 0.006
0.24 0.078 0.52 0.162
0.034 0.522 0.438 0.006
0.24 0.078 0.52 0.162
0.034 0.522 0.438 0.006
0.028 0 0.396 0.576
0 0 0.472 0.528
0 0 0.674 0.326
0 0 0.122 0.878
0 0 0.122 0.878
0.056 0.058 0.4 0.486
0.006 0.312 0.522 0.16
0 0 0.996 0.004
0 0 0.996 0.004
0.298 0.08 0.326 0.296
0.21 0 0.422 0.368
0.162 0.038 0.686 0.114
0.034 0.004 0.958 0.004
0 0 0.082 0.918
0 0 0.082 0.918
0 0 0.082 0.918
0 0 0.67 0.33
0 0 0.418 0.582
0.194 0.056 0.42 0.33
0 0 0.24 0.76
0 0.06 0.562 0.378
0 0.06 0.562 0.378
0 0 0.136 0.864
0.32 0.318 0.36 0.002
0.044 0.002 0.926 0.028
0.014 0 0.964 0.022
0 0 0.32 0.68
0 0 0.4 0.6
0 0 0.198 0.802
0 0 0.43 0.57
0 0 0.35 0.65
0 0 0.294 0.706
0 0 0.35 0.65
0 0 0.294 0.706
0.014 0 0.964 0.022
0 0 0.736 0.264
0 0 0.736 0.264
0 0 0.736 0.264
0 0 0.32 0.68
0 0 0.4 0.6
0 0 0.3 0.7
0.014 0 0.964 0.022
0.084 0.018 0.762 0.136
0.014 0 0.964 0.022
0 0.018 0.21 0.772
0.032 0 0.816 0.152
0.006 0.014 0.876 0.104
0 0 0.136 0.864
0 0 0.406 0.594
0 0 0.37 0.63
0.1 0 0.134 0.766
0 0 0.406 0.594
0 0 0.37 0.63
0 0 0.238 0.762
0 0 0.238 0.762
0.004 0.096 0.468 0.432
0 0 0.238 0.762
0.002 0.042 0.084 0.872
0 0.004 0.31 0.686
0 0 0.218 0.782
0 0 0.3 0.7
0 0 0.136 0.864
0 0.004 0.31 0.686
0 0 0.476 0.524
0.466 0 0.532 0.002
0.47 0 0.53 0
0.446 0 0.554 0
0.556 0 0.444 0
0.196 0.312 0.044 0.448
0.002 0.418 0.004 0.576
0.112 0.598 0.05 0.24
0 0 0.436 0.564
0.36 0.426 0.172 0.042
0 0 0.504 0.496
0.1 0.298 0.478 0.124
0.35 0.364 0.26 0.026
0.354 0.192 0.242 0.212
0.24 0.05 0.654 0.056
0.532 0 0.468 0
0.398 0 0.602 0
0.298 0 0.702 0
0 0.01 0.28 0.71
0.332 0.472 0.13 0.066
0 0 0.628 0.372
0 0 0.366 0.634
0 0 0.628 0.372
0 0 0.366 0.634
0 0 0.136 0.864
0 0 0.382 0.618
0 0 0.346 0.654
