B M R T
0.156 0.002 0.742 0.1
0.04 0.014 0.742 0.204
0.002 0.03 0.88 0.088
0.002 0 0.998 0
0.43 0.008 0.562 0
0.144 0.01 0.248 0.598
0.412 0.134 0.44 0.014
0.156 0.002 0.742 0.1
0.458 0.11 0.432 0
0.008 0.194 0.146 0.652
0 0.118 0.35 0.532
0.088 0.07 0.692 0.15
0 0 0.344 0.656
0 0 0.338 0.662
0 0 0.594 0.406
0 0 0.594 0.406
0.02 0.03 0.738 0.212
0.1 0.126 0.654 0.12
0 0 0.458 0.542
0 0 0.394 0.606
0.086 0.196 0.196 0.522
0.046 0.12 0.262 0.572
0.006 0.082 0.836 0.076
0.11 0.03 0.766 0.094
0.012 0.078 0.794 0.116
0.04 0.024 0.458 0.478
0.006 0.082 0.836 0.076
0.11 0.03 0.766 0.094
0 0 0.556 0.444
0 0 0.516 0.484
0 0 0.37 0.63
0 0 0.464 0.536
0 0 0.398 0.602
0 0 0.556 0.444
0 0 0.614 0.386
0 0 0.134 0.866
0 0 0.25 0.75
0 0 0.48 0.52
0 0 0.566 0.434
0.924 0 0.076 0
0.692 0 0.308 0
0.32 0.264 0.306 0.11
0.242 0.486 0.222 0.05
0.004 0.676 0.058 0.262
0.598 0.06 0.338 0.004
0.194 0.046 0.76 0
0.69 0.06 0.16 0.09
0.138 0.216 0.566 0.08
0.058 0.02 0.874 0.048
0.014 0.596 0.002 0.388
0.242 0.338 0.324 0.096
0.604 0.178 0.196 0.022
0.304 0.322 0.056 0.318
0.744 0 0.256 0
0.706 0 0.294 0
0.67 0.016 0.312 0.002
0.308 0.02 0.664 0.008
0.544 0.06 0.39 0.006
0.334 0.194 0.42 0.052
0.362 0 0.638 0
0.052 0.194 0.374 0.38
0.004 0.14 0.162 0.694
0.01 0.324 0.162 0.504
0.42 0.498 0.06 0.022
0.064 0.41 0.472 0.054
0.18 0.122 0.664 0.034
0.192 0.216 0.378 0.214
0.006 0.082 0.836 0.076
0.11 0.03 0.766 0.094
0.046 0.07 0.718 0.166
0.25 0.01 0.028 0.712
0.302 0.52 0.16 0.018
0 0 0.184 0.816
0 0 0.374 0.626
0 0 0.4 0.6
0 0 0.4 0.6
0.046 0.07 0.718 0.166
0.25 0.01 0.028 0.712
0.002 0.006 0.808 0.184
0.042 0.148 0.718 0.092
0.006 0.004 0.784 0.206
0 0 0.248 0.752
0 0 0.126 0.874
0 0 0.726 0.274
0 0 0.588 0.412
0.012 0 0.722 0.266
0.028 0.112 0.336 0.524
0.012 0 0.722 0.266
0.028 0.112 0.336 0.524
0.012 0 0.722 0.266
0.028 0.112 0.336 0.524
0 0 0.35 0.65
0.01 0 0.448 0.542
0 0 0.546 0.454
0 0 0.57 0.43
0.046 0.07 0.718 0.166
0.25 0.01 0.028 0.712
0.604 0.188 0.206 0.002
0.57 0.416 0.014 0
0.104 0.47 0.32 0.106
0.536 0 0.464 0
0.636 0.002 0.362 0
0.206 0.004 0.79 0
0.086 0.35 0.444 0.12
0.13 0.52 0.284 0.066
0.032 0.342 0.54 0.086
0.034 0.522 0.298 0.146
0 0 0.54 0.46
0.1 0.094 0.796 0.01
0.022 0.042 0.772 0.164
0.018 0 0.982 0
0.018 0 0.982 0
0.018 0 0.982 0
0.426 0 0.574 0
0.078 0.572 0.348 0.002
0.106 0.626 0.234 0.034
0.304 0.358 0.3 0.038
0 0 0.426 0.574
0 0 0.48 0.52
0 0 0.426 0.574
0 0 0.48 0.52
0 0 0.426 0.574
0 0 0.48 0.52
0.084 0.154 0.45 0.312
0.106 0 0.894 0
0.038 0.074 0.88 0.008
0 0 0.85 0.15
0 0 0.698 0.302
0 0 0.172 0.828
0 0 0.778 0.222
0 0 0.194 0.806
0.184 0.14 0.402 0.274
0.29 0.328 0.358 0.024
0.164 0.508 0.324 0.004
0 0 0.172 0.828
0.02 0.432 0.33 0.218
0.068 0.356 0.374 0.202
0 0 0.558 0.442
0 0 0.378 0.622
0.08 0.156 0.418 0.346
0 0 0.558 0.442
0 0 0.378 0.622
0 0 0.294 0.706
0.006 0.004 0.62 0.37
0.004 0.002 0.54 0.454
0 0 0.338 0.662
0.136 0.154 0.282 0.428
0.13 0 0.78 0.09
0 0 0.558 0.442
0 0 0.378 0.622
0.066 0.214 0.704 0.016
0.066 0.214 0.704 0.016
0.018 0.1 0.738 0.144
0.29 0.022 0.684 0.004
0.112 0.116 0.742 0.03
0.008 0.098 0.388 0.506
0.066 0.214 0.704 0.016
0.066 0.214 0.704 0.016
0.178 0.172 0.28 0.37
0 0.01 0.25 0.74
0 0.002 0.046 0.952
0 0.01 0.25 0.74
0 0.002 0.046 0.952
0 0.01 0.25 0.74
0 0.002 0.046 0.952
0 0.008 0.204 0.788
0.016 0.004 0.182 0.798
0 0.008 0.204 0.788
0.016 0.004 0.182 0.798
0 0.008 0.204 0.788
0.016 0.004 0.182 0.798
0 0.094 0.28 0.626
0 0 0.718 0.282
0 0.094 0.28 0.626
0 0 0.718 0.282
0.162 0.126 0.566 0.146
0.526 0.254 0.094 0.126
0 0 0.288 0.712
0.232 0.24 0.26 0.268
0.232 0.24 0.26 0.268
0 0 0.54 0.46
0 0 0.324 0.676
0 0 0.442 0.558
0.014 0.012 0.306 0.668
0.01 0 0.172 0.818
0 0 0.504 0.496
0 0 0.288 0.712
0.01 0 0.172 0.818
0 0 0.214 0.786
0 0 0.746 0.254
0.014 0.622 0.244 0.12
0.014 0.622 0.244 0.12
0.014 0.622 0.244 0.12
0.042 0.17 0.76 0.028
0.196 0.238 0.322 0.244
0.042 0.17 0.76 0.028
0.196 0.238 0.322 0.244
0.042 0.17 0.76 0.028
0.196 0.238 0.322 0.244
0.042 0.17 0.76 0.028
0.196 0.238 0.322 0.244
0.196 0.612 0.106 0.086
0.196 0.612 0.106 0.086
0.196 0.612 0.106 0.086
0 0 0.424 0.576
0 0 0.21 0.79
0.002 0.362 0.312 0.324
0.05 0.136 0.604 0.21
0 0 0.214 0.786
0 0 0.562 0.438
0 0.156 0.484 0.36
0 0.002 0.478 0.52
0 0 0.274 0.726
0.006 0 0.454 0.54
0 0 0.562 0.438
0 0.156 0.484 0.36
0 0.002 0.478 0.52
0 0 0.562 0.438
0 0.156 0.484 0.36
0 0.002 0.478 0.52
0 0 0.562 0.438
0 0.156 0.484 0.36
0 0.002 0.478 0.52
0 0 0.562 0.438
0 0.156 0.484 0.36
0 0.002 0.478 0.52
0 0 0.214 0.786
0 0 0.274 0.726
0.006 0 0.454 0.54
0.096 0.492 0.052 0.36
0.096 0.492 0.052 0.36
0.096 0.492 0.052 0.36
0.096 0.492 0.052 0.36
0 0 0.29 0.71
0 0.002 0.458 0.54
0 0.012 0.372 0.616
